county,year,group_type,group,youth
Adams,2010,all,all,7316.0
Adams,2011,all,all,7100.0
Adams,2012,all,all,6999.0
Adams,2013,all,all,6848.0
Adams,2014,all,all,6881.0
Adams,2015,all,all,6799.0
Adams,2016,all,all,6794.0
Adams,2017,all,all,6598.0
Adams,2018,all,all,6544.0
Adams,2019,all,all,6381.0
Adams,2020,all,all,6472.0
Adams,2021,all,all,6675.0
Adams,2022,all,all,6625.0
Adams,2023,all,all,6677.0
Adams,2024,all,all,6715.0
Alexander,2010,all,all,1017.0
Alexander,2011,all,all,907.0
Alexander,2012,all,all,809.0
Alexander,2013,all,all,819.0
Alexander,2014,all,all,755.0
Alexander,2015,all,all,725.0
Alexander,2016,all,all,707.0
Alexander,2017,all,all,733.0
Alexander,2018,all,all,723.0
Alexander,2019,all,all,659.0
Alexander,2020,all,all,657.0
Alexander,2021,all,all,603.0
Alexander,2022,all,all,494.0
Alexander,2023,all,all,401.0
Alexander,2024,all,all,492.0
Bond,2010,all,all,1769.0
Bond,2011,all,all,1710.0
Bond,2012,all,all,1591.0
Bond,2013,all,all,1627.0
Bond,2014,all,all,1686.0
Bond,2015,all,all,1704.0
Bond,2016,all,all,1650.0
Bond,2017,all,all,1640.0
Bond,2018,all,all,1525.0
Bond,2019,all,all,1552.0
Bond,2020,all,all,1593.0
Bond,2021,all,all,1626.0
Bond,2022,all,all,1603.0
Bond,2023,all,all,1636.0
Bond,2024,all,all,1396.0
Boone,2010,all,all,7533.0
Boone,2011,all,all,7099.0
Boone,2012,all,all,7425.0
Boone,2013,all,all,7595.0
Boone,2014,all,all,7425.0
Boone,2015,all,all,7215.0
Boone,2016,all,all,7471.0
Boone,2017,all,all,7181.0
Boone,2018,all,all,7314.0
Boone,2019,all,all,7253.0
Boone,2020,all,all,7225.0
Boone,2021,all,all,7324.0
Boone,2022,all,all,6969.0
Boone,2023,all,all,6545.0
Boone,2024,all,all,6749.0
Brown,2010,all,all,643.0
Brown,2011,all,all,589.0
Brown,2012,all,all,579.0
Brown,2013,all,all,536.0
Brown,2014,all,all,486.0
Brown,2015,all,all,456.0
Brown,2016,all,all,481.0
Brown,2017,all,all,456.0
Brown,2018,all,all,469.0
Brown,2019,all,all,537.0
Brown,2020,all,all,560.0
Brown,2021,all,all,492.0
